"Binance Coin BNB/USD price history up until Feb 26, 2023",
"Binance Coin (BNB) price per day from Sep 2017 - Feb 26, 2023 (in U.S. dollars)",
x,y
Sep 2017,0.17
Oct 2017,1.29
Nov 2017,2
Dec 2017,9.21
Jan 2018,11.20
Feb 2018,10.70
Mar 2018,10.46
Apr 2018,14.95
May 2018,12.54
Jun 2018,14.36
Jul 2018,13.21
Aug 2018,10.75
Sep 2018,9.97
Oct 2018,9.44
Nov 2018,5.35
Dec 2018,5.89
Jan 2019,6.14
Feb 2019,9.82
Mar 2019,16.82
Apr 2019,21.57
May 2019,31.76
Jun 2019,35.57
Jul 2019,26.71
Aug 2019,22.19
Sep 2019,15.25
Oct 2019,20.02
Nov 2019,16.16
Dec 2019,13.85
Jan 2020,18.57
Feb 2020,18.97
Mar 2020,12.19
Apr 2020,17.39
May 2020,17.74
Jun 2020,15.48
Jul 2020,20.03
Aug 2020,23.62
Sep 2020,28.78
Oct 2020,28.50
Nov 2020,30.11
Dec 2020,38.15
Jan 2021,44.62
Feb 2021,226.73
Mar 2021,309.41
Apr 2021,599.88
May 2021,325.57
Jun 2021,300.92
Jul 2021,322.74
Aug 2021,461.07
Sep 2021,368.21
Oct 2021,526.94
Nov 2021,623.82
Dec 2021,518.37
Jan 2022,378.34
Feb 2022,361.29
Mar 2022,442.79
Apr 2022,392.96
May 2022,322.19
Jun 2022,219.37
Jul 2022,287.36
Aug 2022,281.29
Sep 2022,283.75
Oct 2022,313.60
Nov 2022,296.41
Dec 2022,245.84
Jan 2023,307.06
"Feb 01, 2023",312.51
"Feb 02, 2023",317.65
"Feb 03, 2023",325.44
"Feb 04, 2023",332.28
"Feb 05, 2023",330.85
"Feb 06, 2023",327.66
"Feb 07, 2023",324.97
"Feb 08, 2023",333.39
"Feb 09, 2023",328.37
"Feb 10, 2023",305.75
"Feb 11, 2023",305.92
"Feb 12, 2023",310.99
"Feb 13, 2023",313.55
"Feb 14, 2023",293.32
"Feb 15, 2023",296.20
"Feb 16, 2023",317.25
"Feb 17, 2023",306.76
"Feb 18, 2023",313.67
"Feb 19, 2023",316.21
"Feb 20, 2023",311.35
"Feb 21, 2023",314.94
"Feb 22, 2023",311.08
"Feb 23, 2023",312.46
"Feb 24, 2023",308.51
"Feb 25, 2023",301.83
"Feb 26, 2023",302.14
