"Bitcoin BTC/USD price history up until Feb 26, 2023",
"Bitcoin (BTC) price per day from Apr 2013 - Feb 26, 2023 (in U.S. dollars)",
Date,Value
2013-04-01, $135.30 
2013-05-01, $127.98 
2013-06-01, $95.39 
2013-07-01, $110.34 
2013-08-01, $137.76 
2013-09-01, $131.65 
2013-10-01, $203.88 
2013-11-01," $1,127.45 "
2013-12-01, $755.16 
2014-01-01, $817.93 
2014-02-01, $567.20 
2014-03-01, $457.40 
2014-04-01, $445.00 
2014-05-01, $620.50 
2014-06-01, $637.75 
2014-07-01, $583.18 
2014-08-01, $480.03 
2014-09-01, $387.35 
2014-10-01, $336.59 
2014-11-01, $376.47 
2014-12-01, $317.38 
2015-01-01, $218.02 
2015-02-01, $253.60 
2015-03-01, $243.27 
2015-04-01, $236.22 
2015-05-01, $229.68 
2015-06-01, $262.41 
2015-07-01, $283.68 
2015-08-01, $230.08 
2015-09-01, $236.05 
2015-10-01, $312.28 
2015-11-01, $378.26 
2015-12-01, $431.14 
2016-01-01, $364.35 
2016-02-01, $436.92 
2016-03-01, $415.37 
2016-04-01, $447.90 
2016-05-01, $531.41 
2016-06-01, $671.62 
2016-07-01, $623.75 
2016-08-01, $571.76 
2016-09-01, $608.26 
2016-10-01, $698.58 
2016-11-01, $742.36 
2016-12-01, $966.57 
2017-01-01, $968.27 
2017-02-01," $1,190.33 "
2017-03-01," $1,078.27 "
2017-04-01," $1,349.89 "
2017-05-01," $2,329.08 "
2017-06-01," $2,490.75 "
2017-07-01," $2,871.37 "
2017-08-01," $4,702.94 "
2017-09-01," $4,297.79 "
2017-10-01," $6,368.65 "
2017-11-01," $10,406.19 "
2017-12-01," $14,839.59 "
2018-01-01," $9,989.69 "
2018-02-01," $10,709.39 "
2018-03-01," $6,897.27 "
2018-04-01," $9,325.63 "
2018-05-01," $7,380.85 "
2018-06-01," $6,182.26 "
2018-07-01," $8,185.92 "
2018-08-01," $7,024.15 "
2018-09-01," $6,606.07 "
2018-10-01," $6,331.78 "
2018-11-01," $4,279.48 "
2018-12-01," $3,809.73 "
2019-01-01," $3,457.88 "
2019-02-01," $3,813.38 "
2019-03-01," $4,103.86 "
2019-04-01," $5,199.76 "
2019-05-01," $8,310.89 "
2019-06-01," $11,972.56 "
2019-07-01," $9,568.44 "
2019-08-01," $9,588.99 "
2019-09-01," $8,064.38 "
2019-10-01," $9,171.87 "
2019-11-01," $7,720.87 "
2019-12-01," $7,240.43 "
2020-01-01," $9,509.81 "
2020-02-01," $8,717.33 "
2020-03-01," $6,403.14 "
2020-04-01," $8,744.43 "
2020-05-01," $9,662.71 "
2020-06-01," $9,185.17 "
2020-07-01," $11,116.31 "
2020-08-01," $11,701.00 "
2020-09-01," $10,837.52 "
2020-10-01," $13,537.17 "
2020-11-01," $18,169.95 "
2020-12-01," $28,837.29 "
2021-01-01," $34,199.52 "
2021-02-01," $46,653.53 "
2021-03-01," $58,668.63 "
2021-04-01," $53,596.70 "
2021-05-01," $35,714.75 "
2021-06-01," $35,968.99 "
2021-07-01," $41,936.26 "
2021-08-01," $47,124.25 "
2021-09-01," $41,587.67 "
2021-10-01," $61,837.26 "
2021-11-01," $57,848.77 "
2021-12-01," $47,191.87 "
2022-01-01," $37,983.15 "
2022-02-01," $37,803.59 "
2022-03-01," $47,063.37 "
2022-04-01," $38,650.55 "
2022-05-01," $31,740.94 "
2022-06-01," $20,108.53 "
2022-07-01," $23,653.46 "
2022-08-01," $19,805.35 "
2022-09-01," $19,563.77 "
2022-10-01," $20,623.87 "
2022-11-01," $16,441.98 "
2022-12-01," $16,604.02 "
2023-01-01," $22,840.39 "
"Feb 01, 2023"," $23,137.32 "
"Feb 02, 2023"," $23,725.16 "
"Feb 03, 2023"," $23,539.68 "
"Feb 04, 2023"," $23,451.58 "
"Feb 05, 2023"," $23,340.35 "
"Feb 06, 2023"," $22,946.29 "
"Feb 07, 2023"," $22,786.48 "
"Feb 08, 2023"," $23,294.91 "
"Feb 09, 2023"," $22,947.51 "
"Feb 10, 2023"," $21,820.89 "
"Feb 11, 2023"," $21,630.13 "
"Feb 12, 2023"," $21,889.43 "
"Feb 13, 2023"," $21,779.87 "
"Feb 14, 2023"," $21,807.83 "
"Feb 15, 2023"," $22,220.07 "
"Feb 16, 2023"," $24,307.88 "
"Feb 17, 2023"," $23,756.91 "
"Feb 18, 2023"," $24,628.82 "
"Feb 19, 2023"," $24,642.79 "
"Feb 20, 2023"," $24,284.48 "
"Feb 21, 2023"," $24,786.67 "
"Feb 22, 2023"," $24,417.39 "
"Feb 23, 2023"," $24,146.10 "
"Feb 24, 2023"," $23,951.11 "
"Feb 25, 2023"," $23,172.29 "
"Feb 26, 2023"," $23,157.04 "
,
"Please note that the grayed-out values may slightly differ from the respective values at the source, since the latter may have been recalculated.",
